Edelstams väg,59.325777905196595,18.13363516975306,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446245;;;;
Sjöstugan,59.321334089349904,18.149091177719164,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446250;;;;
Säby kulle,59.42034707677931,17.860212433287643,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446251;;;;
Isbladskärret,59.32320390765698,18.1439838750401,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446248;;;;
Thielska galleriet,59.32287734308163,18.146667283631597,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446249;;;;
Slakthuset (Globen),59.29343364520875,18.075003663002107,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446254;;;;
Abrahamsbergsskolan,59.334431482972384,17.949558629808067,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446255;;;;
Humlegården,59.33741356708581,18.071608791007435,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446252;;;;
Bolidenvägen,59.29591354518904,18.069761543352882,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446253;;;;
Anders Reimers väg,59.31850380836704,18.02506091866135,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446225;;;;
Pokalvägen,59.317945544843184,18.022512426133677,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446224;;;;
Verkstadsgatan,59.317473069152214,18.031265124227282,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446227;;;;
Bergsunds strand,59.318408128472655,18.026987095524802,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446226;;;;
Högalidskyrkan,59.31810719588044,18.03986184972679,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446229;;;;
Långholmsgatan,59.3179920126457,18.033477381502507,http://reseplanerare.resrobot.se/bin/query.exe/sn?start=1&Z=7446228;;;;
